stock1,stock2,stability
BKNG,KKR,0.08602150537634409
PSX,TRV,0.08536585365853659
PM,HWM,0.08490566037735849
KO,APO,0.0847457627118644
BRK-B,HLT,0.08391608391608392
RSG,HLT,0.08391608391608392
NEE,ROST,0.08333333333333333
TMO,UNP,0.08333333333333333
VRTX,AON,0.08333333333333333
AMGN,VRTX,0.08333333333333333
AVGO,BRK-B,0.08333333333333333
VRTX,LHX,0.08333333333333333
BKNG,CB,0.08333333333333333
AXP,CRH,0.08333333333333333
KO,AMAT,0.08333333333333333
COF,CL,0.08333333333333333
AXP,ETN,0.08333333333333333
DUK,CDNS,0.08333333333333333
ORCL,WELL,0.08333333333333333
AXP,WELL,0.08333333333333333
BKNG,GD,0.08333333333333333
BKNG,ICE,0.08333333333333333
BSX,SHW,0.08333333333333333
KO,PGR,0.08333333333333333
UNP,MDLZ,0.08333333333333333
COF,WM,0.08333333333333333
ABT,UNP,0.08333333333333333
NEE,PNC,0.08333333333333333
BLK,CTAS,0.08333333333333333
MDT,CMCSA,0.08333333333333333
NEE,MCO,0.08333333333333333
PH,PCAR,0.08333333333333333
NFLX,LHX,0.08333333333333333
MCD,ICE,0.08333333333333333
GOOG,ORLY,0.08333333333333333
MCD,CME,0.08333333333333333
VRTX,MRSH,0.08333333333333333
HD,SHW,0.08333333333333333
MA,TDG,0.08333333333333333
MA,VRTX,0.08333333333333333
UNP,DUK,0.08333333333333333
CL,CRH,0.08333333333333333
UNP,EQIX,0.08333333333333333
GOOG,TRV,0.08333333333333333
NEE,ABT,0.08333333333333333
AMGN,SRE,0.08333333333333333
TMUS,SYK,0.08333333333333333
CB,TRV,0.08333333333333333
AAPL,SNPS,0.08333333333333333
MAR,PNC,0.08333333333333333
EQIX,O,0.08333333333333333
JPM,MAR,0.08333333333333333
JPM,TT,0.08333333333333333
CMI,CRH,0.08333333333333333
JPM,COF,0.08333333333333333
BSX,TDG,0.08333333333333333
CB,COF,0.08333333333333333
ADI,PLD,0.08333333333333333
SCHW,SYK,0.08333333333333333
GOOGL,BLK,0.08333333333333333
RTX,JCI,0.08333333333333333
RTX,STX,0.08333333333333333
MRSH,ITW,0.08333333333333333
MRK,SRE,0.08333333333333333
TRV,SRE,0.08333333333333333
SPGI,EQIX,0.08333333333333333
NVDA,PCAR,0.08333333333333333
APD,ELV,0.08333333333333333
PGR,VRTX,0.08333333333333333
DUK,LHX,0.08333333333333333
KO,MSI,0.08333333333333333
BSX,ROST,0.08333333333333333
SYK,ICE,0.08333333333333333
AVGO,APH,0.08333333333333333
TXN,AON,0.08333333333333333
CSX,LHX,0.08333333333333333
EMR,GM,0.08287292817679558
PANW,TDG,0.08125
NOW,SHW,0.08074534161490683
AXP,KKR,0.08064516129032258
BRK-B,ANET,0.08029197080291971
ANET,SRE,0.08029197080291971
TXN,APP,0.08
HCA,MAR,0.07909604519774012
KO,HCA,0.07909604519774012
PG,QCOM,0.078125
UNP,APD,0.078125
NVDA,CMI,0.078125
SCHW,MAR,0.078125
HON,LOW,0.078125
PG,TMUS,0.078125
MSFT,UNP,0.078125
ADP,APD,0.078125
PG,BLK,0.078125
BKNG,COF,0.078125
HON,SRE,0.078125
PG,PLD,0.078125
SHW,AON,0.078125
ITW,SRE,0.078125
ETN,PH,0.078125
TXN,CME,0.078125
BRK-B,MAR,0.078125
DE,FTNT,0.078125
BKNG,SYK,0.078125
JNJ,PNC,0.078125
BRK-B,TT,0.078125
PG,AON,0.078125
BSX,AON,0.078125
NOC,SRE,0.078125
UNP,AMT,0.078125
ORCL,EMR,0.078125
CRM,CSX,0.078125
V,VRTX,0.078125
CRM,ACN,0.078125
V,SPGI,0.078125
COST,PCAR,0.078125
V,LOW,0.078125
CME,NSC,0.078125
TJX,AEP,0.078125
CRM,CL,0.078125
JPM,TRV,0.078125
TJX,ADI,0.078125
V,CL,0.078125
CTAS,APD,0.078125
ISRG,DLR,0.078125
AVGO,VRTX,0.078125
AAPL,BLK,0.078125
ICE,ADP,0.078125
MA,O,0.078125
NFLX,SYK,0.078125
BLK,ADP,0.078125
SNPS,FTNT,0.078125
ICE,ECL,0.078125
JNJ,MU,0.078125
ICE,RSG,0.078125
BLK,MCO,0.078125
ADI,VRTX,0.078125
ADI,CB,0.078125
ADI,BLK,0.078125
SCHW,LMT,0.078125
NOC,CI,0.078125
MSFT,ISRG,0.078125
HON,CME,0.078125
LOW,ITW,0.078125
KO,MRK,0.078125
MCO,SRE,0.078125
PEP,VRTX,0.078125
CL,SRE,0.078125
UNH,ELV,0.078125
KO,SRE,0.078125
DHR,ACN,0.078125
UNH,DHR,0.078125
GOOGL,CRH,0.078125
MCD,ISRG,0.078125
SYK,APD,0.078125
SYK,DLR,0.078125
CL,O,0.078125
LOW,ORLY,0.078125
EMR,PCAR,0.078125
GOOGL,EMR,0.078125
BAC,HON,0.078125
PEP,HON,0.078125
PM,CRH,0.078125
CB,RSG,0.078125
VRTX,ECL,0.078125
GOOGL,JPM,0.078125
MRK,ROST,0.078125
PEP,ACN,0.078125
TMUS,PNC,0.078125
GOOGL,ORLY,0.078125
KO,MAR,0.078125
HD,TXN,0.078125
AMZN,APD,0.078125
KO,SO,0.078125
GOOG,MS,0.078125
MRK,LOW,0.078125
KO,BLK,0.078125
SYK,VRTX,0.078125
SPGI,INTU,0.078125
EMR,CMI,0.078125
MS,COF,0.078125
PEP,MCO,0.078125
HD,UNP,0.078125
KO,MS,0.078125
GOOGL,MS,0.078125
TMUS,MRSH,0.078125
ABBV,MSI,0.07741935483870968
ABBV,SO,0.07741935483870968
BLK,HLT,0.07692307692307693
KO,HLT,0.07692307692307693
AXP,HLT,0.07692307692307693
GS,HWM,0.07547169811320754
SCHW,PANW,0.075
BLK,PANW,0.075
PANW,MNST,0.075
PANW,AZO,0.075
MSFT,NOW,0.07453416149068323
INTU,NOW,0.07453416149068323
META,AMGN,0.07407407407407407
UNP,HCA,0.07344632768361582
HCA,TT,0.07344632768361582
HCA,BX,0.07344632768361582
PH,DELL,0.07339449541284404
TJX,DELL,0.07339449541284404
LLY,DELL,0.07339449541284404
DELL,CRH,0.07339449541284404
V,CEG,0.07317073170731707
PANW,CEG,0.07317073170731707
WFC,CEG,0.07317073170731707
LOW,CEG,0.07317073170731707
SPGI,CEG,0.07317073170731707
COF,JCI,0.07291666666666667
TJX,CL,0.07291666666666667
EQIX,SHW,0.07291666666666667
CRM,WM,0.07291666666666667
ORLY,TDG,0.07291666666666667
COST,CB,0.07291666666666667
JPM,CRH,0.07291666666666667
COF,CRH,0.07291666666666667
VRTX,WM,0.07291666666666667
MRSH,APD,0.07291666666666667
BAC,MAR,0.07291666666666667
GOOGL,TRV,0.07291666666666667
GOOGL,ROST,0.07291666666666667
SCHW,CI,0.07291666666666667
VRTX,TDG,0.07291666666666667
KLAC,PCAR,0.07291666666666667
MCO,APD,0.07291666666666667
MCD,PLD,0.07291666666666667
GOOG,ROST,0.07291666666666667
JPM,APH,0.07291666666666667
MCD,INTU,0.07291666666666667
CDNS,EMR,0.07291666666666667
SCHW,CME,0.07291666666666667
PNC,LHX,0.07291666666666667
V,ECL,0.07291666666666667
TDG,ROST,0.07291666666666667
