stock1,stock2,stability
KO,SO,0.07772020725388601
KO,COF,0.031088082901554404
KO,DUK,0.12435233160621761
KO,DELL,0.045454545454545456
KO,WM,0.06735751295336788
KO,TT,0.06217616580310881
KO,ICE,0.12953367875647667
KO,MAR,0.07772020725388601
KO,BX,0.05181347150259067
KO,SNPS,0.07253886010362694
KO,MSI,0.08290155440414508
KO,CDNS,0.04145077720207254
KO,KKR,0.053763440860215055
KO,CTAS,0.07253886010362694
KO,ORLY,0.05699481865284974
KO,EMR,0.03626943005181347
KO,CMI,0.06735751295336788
KO,AEP,0.15544041450777202
KO,VLO,0.05181347150259067
KO,RSG,0.09326424870466321
KO,TDG,0.06735751295336788
KO,HLT,0.07692307692307693
KO,CRH,0.05699481865284974
KO,GM,0.06043956043956044
KO,TRV,0.09326424870466321
KO,SRE,0.07772020725388601
KO,FTNT,0.05699481865284974
KO,APO,0.08426966292134831
KO,AZO,0.11398963730569948
CAT,ANET,0.058394160583941604
CAT,DELL,0.045454545454545456
CAT,CMI,0.03626943005181347
CAT,HLT,0.11188811188811189
CSCO,TXN,0.08290155440414508
CSCO,TJX,0.05181347150259067
CSCO,ADI,0.13471502590673576
CSCO,CME,0.08808290155440414
CSCO,DUK,0.03626943005181347
CSCO,WM,0.031088082901554404
CSCO,ICE,0.06735751295336788
CSCO,MAR,0.046632124352331605
CSCO,PNC,0.025906735751295335
CSCO,AEP,0.015544041450777202
CSCO,HLT,0.06293706293706294
CSCO,ROST,0.04145077720207254
CSCO,LHX,0.046632124352331605
CSCO,GM,0.027472527472527472
CSCO,NSC,0.05181347150259067
CSCO,DLR,0.06217616580310881
CSCO,O,0.04145077720207254
MRK,PEP,0.09326424870466321
MRK,TJX,0.08808290155440414
MRK,ADI,0.06735751295336788
MRK,UNP,0.18134715025906736
MRK,LOW,0.07772020725388601
MRK,VRTX,0.03626943005181347
MRK,HCA,0.06741573033707865
MRK,DUK,0.09326424870466321
MRK,MAR,0.09326424870466321
MRK,MRSH,0.12435233160621761
MRK,ITW,0.12953367875647667
MRK,ORLY,0.13471502590673576
MRK,MDLZ,0.046632124352331605
MRK,VLO,0.06735751295336788
MRK,TDG,0.10880829015544041
MRK,AON,0.09326424870466321
MRK,ROST,0.07772020725388601
MRK,SRE,0.08290155440414508
MRK,O,0.06217616580310881
MRK,APO,0.14606741573033707
RTX,PM,0.04145077720207254
RTX,MS,0.05181347150259067
RTX,GS,0.09326424870466321
RTX,AXP,0.07253886010362694
RTX,ANET,0.043795620437956206
RTX,APH,0.07253886010362694
RTX,WELL,0.05699481865284974
RTX,COF,0.03626943005181347
RTX,DUK,0.03626943005181347
RTX,STX,0.08808290155440414
RTX,BK,0.06735751295336788
RTX,JCI,0.08290155440414508
RTX,CMI,0.07253886010362694
RTX,CRH,0.16580310880829016
RTX,GM,0.04395604395604396
RTX,TRV,0.05699481865284974
PM,MS,0.06735751295336788
PM,GS,0.046632124352331605
PM,APH,0.025906735751295335
PM,WELL,0.10362694300518134
PM,COF,0.08808290155440414
PM,HWM,0.08411214953271028
PM,JCI,0.06735751295336788
PM,CRH,0.07772020725388601
PM,GM,0.09340659340659341
AMAT,MS,0.05699481865284974
AMAT,ADI,0.031088082901554404
AMAT,CB,0.046632124352331605
AMAT,SO,0.05699481865284974
AMAT,DUK,0.03626943005181347
AMAT,EMR,0.025906735751295335
AMAT,CMI,0.05181347150259067
AMAT,GM,0.04395604395604396
AMAT,PCAR,0.09326424870466321
LRCX,MS,0.10880829015544041
LRCX,ADI,0.046632124352331605
LRCX,SO,0.04145077720207254
LRCX,EMR,0.06735751295336788
LRCX,CMI,0.046632124352331605
UNH,PEP,0.11917098445595854
UNH,CRM,0.09326424870466321
UNH,TMO,0.07253886010362694
UNH,DHR,0.08290155440414508
UNH,ACN,0.11917098445595854
UNH,ADBE,0.05699481865284974
UNH,MDLZ,0.06217616580310881
UNH,APD,0.13471502590673576
UNH,ELV,0.08290155440414508
UNH,O,0.12435233160621761
MS,KLAC,0.11398963730569948
MS,APH,0.07253886010362694
MS,ADI,0.10362694300518134
MS,ETN,0.09844559585492228
MS,CB,0.025906735751295335
MS,HCA,0.056179775280898875
MS,PH,0.10362694300518134
MS,SO,0.025906735751295335
MS,COF,0.07772020725388601
MS,DUK,0.04145077720207254
MS,TT,0.03626943005181347
